iter	Accuracy	MultiClass
0	0.7885117493	1.541269755
1	0.8812010444	1.479023995
2	0.8864229765	1.414589319
3	0.8890339426	1.366098394
4	0.9020887728	1.320240026
5	0.8968668407	1.259362719
6	0.8994778068	1.202047627
7	0.9125326371	1.164610678
8	0.9164490862	1.123608888
9	0.9242819843	1.078476152
10	0.9281984334	1.049986324
11	0.9268929504	1.013550075
12	0.9308093995	0.9807178465
13	0.9347258486	0.9523630841
14	0.9399477807	0.9212628917
15	0.9412532637	0.8923403088
16	0.9425587467	0.8639964323
17	0.9451697128	0.8414738948
18	0.9503916449	0.8178654735
19	0.954308094	0.7944726177
20	0.9569190601	0.7735453103
21	0.9595300261	0.7520926957
22	0.9634464752	0.7313045816
23	0.9673629243	0.7139240478
24	0.9686684073	0.6919891532
25	0.9699738903	0.6759008145
26	0.9712793734	0.6605904627
27	0.9725848564	0.641411178
28	0.9712793734	0.6260998104
29	0.9738903394	0.6131717393
30	0.9738903394	0.6003338203
31	0.9765013055	0.5858158247
32	0.9765013055	0.5721326295
33	0.9765013055	0.5603259638
34	0.9778067885	0.5487602967
35	0.9804177546	0.5372490518
36	0.9778067885	0.5256929449
37	0.9830287206	0.5124749834
38	0.9817232376	0.5004115743
39	0.9843342037	0.4896671118
40	0.9869451697	0.4789156524
41	0.9856396867	0.4695762344
42	0.9869451697	0.4601846055
43	0.9856396867	0.4505576143
44	0.9856396867	0.4416368517
45	0.9869451697	0.4330583586
46	0.9882506527	0.4232722211
47	0.9869451697	0.4159200456
48	0.9882506527	0.4094924768
49	0.9882506527	0.4014488257
50	0.9882506527	0.3940704741
51	0.9882506527	0.3865212376
52	0.9882506527	0.3794685235
53	0.9882506527	0.3714876671
54	0.9895561358	0.3649410346
55	0.9908616188	0.3570711396
56	0.9908616188	0.3503554868
57	0.9921671018	0.3447785792
58	0.9921671018	0.3385275167
59	0.9921671018	0.3333790083
60	0.9934725849	0.3271708829
61	0.9934725849	0.3211447406
62	0.9934725849	0.3156851959
63	0.9934725849	0.3105676331
64	0.9934725849	0.3048358057
65	0.9934725849	0.3002316112
66	0.9934725849	0.2946999967
67	0.9934725849	0.29062831
68	0.9934725849	0.2859054241
69	0.9934725849	0.2798972442
70	0.9934725849	0.2756478521
71	0.9934725849	0.2701097954
72	0.9934725849	0.2664563668
73	0.9934725849	0.2625730545
74	0.9934725849	0.2585415134
75	0.9934725849	0.253733078
76	0.9947780679	0.2491914083
77	0.9947780679	0.2450384226
78	0.9947780679	0.2417482277
79	0.9947780679	0.238030242
80	0.9947780679	0.234326411
81	0.9947780679	0.2306289505
82	0.9947780679	0.2268054874
83	0.9960835509	0.2224787164
84	0.9960835509	0.2192501307
85	0.9947780679	0.2155462743
86	0.9960835509	0.2123972418
87	0.9960835509	0.2085987268
88	0.9973890339	0.2054424581
89	0.9960835509	0.2017203889
90	0.9960835509	0.1986621834
91	0.9960835509	0.1949438421
92	0.9973890339	0.1921979922
93	0.9960835509	0.1897703426
94	0.9973890339	0.187551282
95	0.9973890339	0.1852169398
96	0.9973890339	0.1825070418
97	0.9973890339	0.1803172327
98	0.9973890339	0.1780263191
99	0.9973890339	0.1746225092
