iter	Passed	Remaining
0	901	89214
1	1688	82755
2	2439	78877
3	3213	77129
4	4000	76017
5	4785	74969
6	5628	74774
7	6416	73785
8	7285	73664
9	8068	72615
10	8862	71701
11	9681	70997
12	10515	70370
13	11381	69912
14	12234	69330
15	13116	68861
16	14009	68399
17	14825	67537
18	15619	66588
19	16404	65619
20	17224	64795
21	18083	64114
22	18891	63246
23	19688	62345
24	20478	61434
25	21282	60571
26	22086	59715
27	22899	58883
28	23737	58115
29	24600	57401
30	25488	56733
31	26351	55997
32	27139	55101
33	27985	54324
34	28841	53561
35	29648	52708
36	30442	51834
37	31226	50948
38	32039	50113
39	32808	49212
40	33569	48307
41	34331	47409
42	35118	46553
43	35984	45797
44	36845	45033
45	37727	44288
46	38491	43405
47	39285	42559
48	40050	41685
49	40792	40792
50	41581	39950
51	42333	39077
52	43095	38216
53	43862	37364
54	44632	36517
55	45391	35664
56	46175	34834
57	46985	34024
58	47857	33256
59	48743	32495
60	49584	31701
61	50440	30915
62	51239	30092
63	52093	29302
64	52948	28510
65	53794	27712
66	54573	26879
67	55360	26051
68	56137	25221
69	56957	24410
70	57707	23570
71	58534	22763
72	59319	21940
73	60166	21139
74	60956	20318
75	61756	19502
76	62519	18674
77	63320	17859
78	64107	17041
79	64905	16226
80	65668	15403
81	66420	14580
82	67170	13757
83	67928	12938
84	68725	12128
85	69606	11331
86	70442	10525
87	71197	9708
88	72021	8901
89	72912	8101
90	73780	7297
91	74597	6486
92	75365	5672
93	76140	4860
94	76930	4048
95	77738	3239
96	78518	2428
97	79311	1618
98	80109	809
99	80872	0
